timestamp,pitch_hz,confidence,voiced
35.6720,201.43,0.8889,true
35.6880,203.37,0.7683,true
35.7040,199.08,0.5555,false
35.7200,103.34,0.3718,false
35.7360,104.66,0.4998,false
35.7520,104.73,0.4693,false
35.7680,198.72,0.4815,false
35.7840,198.19,0.5117,false
35.8000,198.23,0.4466,false
35.8160,198.48,0.3081,false
35.8320,1962.60,0.1499,false
35.8480,195.14,0.2910,false
35.8640,194.00,0.2550,false
35.8800,100.43,0.4037,false
35.8960,100.23,0.4784,false
35.9120,100.31,0.4257,false
35.9280,102.49,0.3823,false
35.9440,102.12,0.4166,false
35.9600,276.95,0.2863,false
35.9760,273.62,0.5494,false
35.9920,272.29,0.8257,true
36.0080,270.21,0.8916,true
36.0240,269.20,0.9335,true
36.0400,267.73,0.9657,true
36.0560,264.88,0.9783,true
36.0720,261.26,0.9821,true
36.0880,258.75,0.9790,true
36.1040,256.96,0.9481,true
36.1200,256.59,0.8930,true
36.1360,257.51,0.8725,true
36.1520,258.77,0.8747,true
36.1680,259.06,0.8730,true
36.1840,259.52,0.8626,true
36.2000,260.43,0.8693,true
36.2160,261.04,0.8901,true
36.2320,262.03,0.8681,true
36.2480,260.69,0.8595,true
36.2640,262.74,0.8373,true
36.2800,263.72,0.8290,true
36.2960,263.12,0.8099,true
36.3120,262.00,0.7282,true
36.3280,262.79,0.7765,true
36.3440,262.77,0.8080,true
36.3600,262.46,0.8506,true
36.3760,261.85,0.9079,true
36.3920,260.88,0.9064,true
36.4080,259.62,0.8914,true
36.4240,259.22,0.8545,true
36.4400,258.61,0.7913,true
36.4560,258.37,0.7302,true
36.4720,258.15,0.6362,true
36.4880,259.28,0.5909,false
36.5040,262.19,0.5233,false
36.5200,263.08,0.4444,false
36.5360,265.08,0.4221,false
36.5520,265.07,0.5137,false
36.5680,260.90,0.4366,false
36.5840,260.32,0.3586,false
36.6000,261.11,0.3849,false
36.6160,250.17,0.3191,false
36.6320,245.68,0.2572,false
36.6480,917.64,0.1521,false
36.6640,255.86,0.3711,false
36.6800,258.62,0.4281,false
36.6960,262.45,0.4207,false
36.7120,264.57,0.2769,false
36.7280,1908.68,0.1704,false
36.7440,1969.05,0.1448,false
36.7600,1977.76,0.1320,false
36.7760,1973.47,0.1258,false
36.7920,1951.26,0.1140,false
36.8080,1943.14,0.1163,false
36.8240,1282.86,0.1652,false
36.8400,398.31,0.2570,false
36.8560,405.63,0.3705,false
36.8720,409.61,0.6182,true
36.8880,412.60,0.8691,true
36.9040,412.40,0.9519,true
36.9200,410.07,0.9665,true
36.9360,401.64,0.9719,true
36.9520,397.08,0.9888,true
36.9680,392.62,0.9882,true
36.9840,389.96,0.9907,true
37.0000,385.35,0.9971,true
37.0160,383.11,0.9996,true
37.0320,382.99,0.9996,true
37.0480,383.25,0.9995,true
37.0640,383.66,0.9996,true
37.0800,384.10,0.9997,true
37.0960,385.30,0.9998,true
37.1120,388.20,0.9999,true
37.1280,390.02,0.9999,true
37.1440,390.19,0.9999,true
37.1600,390.20,0.9997,true
37.1760,390.20,0.9996,true
37.1920,390.20,0.9997,true
37.2080,390.20,0.9996,true
37.2240,390.20,0.9997,true
37.2400,390.22,0.9997,true
37.2560,390.30,0.9996,true
37.2720,391.46,0.9991,true
37.2880,395.87,0.9994,true
37.3040,396.72,0.9996,true
37.3200,395.82,0.9996,true
37.3360,393.41,0.9995,true
37.3520,391.27,0.9992,true
37.3680,390.73,0.9984,true
37.3840,390.64,0.9974,true
37.4000,390.55,0.9968,true
37.4160,390.56,0.9940,true
37.4320,390.54,0.9918,true
37.4480,390.51,0.9924,true
37.4640,390.53,0.9973,true
37.4800,391.70,0.9995,true
37.4960,395.85,0.9998,true
37.5120,397.12,0.9998,true
37.5280,397.42,0.9997,true
37.5440,397.62,0.9993,true
37.5600,397.64,0.9992,true
37.5760,397.61,0.9987,true
37.5920,397.73,0.9973,true
37.6080,398.77,0.9898,true
37.6240,400.70,0.9674,true
37.6400,397.07,0.8883,true
37.6560,392.68,0.7269,true
37.6720,391.95,0.6343,true
37.6880,392.38,0.6032,true
37.7040,393.32,0.7914,true
37.7200,393.87,0.9117,true
37.7360,391.97,0.9170,true
37.7520,381.35,0.8938,true
37.7680,360.13,0.8880,true
37.7840,336.01,0.9358,true
37.8000,326.32,0.9775,true
37.8160,323.80,0.9945,true
37.8320,323.08,0.9983,true
37.8480,323.38,0.9995,true
37.8640,324.01,0.9999,true
37.8800,325.32,0.9999,true
37.8960,327.62,0.9999,true
37.9120,328.40,0.9999,true
37.9280,328.61,1.0000,true
37.9440,330.08,1.0000,true
37.9600,331.88,1.0000,true
37.9760,330.52,1.0000,true
37.9920,329.61,0.9999,true
38.0080,329.26,0.9999,true
38.0240,330.11,0.9999,true
38.0400,333.80,1.0000,true
38.0560,334.82,1.0000,true
38.0720,335.03,1.0000,true
38.0880,336.05,0.9999,true
38.1040,336.68,0.9996,true
38.1200,334.53,0.9961,true
38.1360,330.51,0.9843,true
38.1520,326.68,0.9728,true
38.1680,330.52,0.9808,true
38.1840,334.79,0.9971,true
38.2000,334.75,0.9998,true
38.2160,334.61,0.9999,true
38.2320,334.32,0.9997,true
38.2480,333.16,0.9993,true
38.2640,333.22,0.9993,true
38.2800,333.48,0.9989,true
38.2960,332.82,0.9990,true
38.3120,331.63,0.9994,true
38.3280,330.75,0.9998,true
38.3440,329.68,0.9999,true
38.3600,328.86,0.9999,true
38.3760,328.62,0.9998,true
38.3920,328.59,0.9999,true
38.4080,328.59,0.9999,true
38.4240,328.59,1.0000,true
38.4400,328.61,1.0000,true
38.4560,328.67,0.9999,true
38.4720,329.28,0.9999,true
38.4880,330.46,0.9999,true
38.5040,330.65,0.9999,true
38.5200,331.20,0.9999,true
38.5360,331.75,0.9998,true
38.5520,331.44,0.9982,true
38.5680,329.52,0.9744,true
38.5840,327.37,0.8317,true
38.6000,329.67,0.6987,true
38.6160,332.08,0.8391,true
38.6320,329.87,0.8082,true
38.6480,327.83,0.7535,true
38.6640,325.30,0.5519,false
38.6800,437.55,0.1793,false
38.6960,417.82,0.3374,false
38.7120,406.31,0.6047,true
38.7280,398.26,0.8155,true
38.7440,396.12,0.9592,true
38.7600,395.99,0.9874,true
38.7760,395.22,0.9949,true
38.7920,393.73,0.9967,true
38.8080,391.58,0.9974,true
38.8240,390.47,0.9940,true
38.8400,390.25,0.9904,true
38.8560,390.20,0.9960,true
38.8720,390.20,0.9983,true
38.8880,390.20,0.9972,true
38.9040,390.21,0.9955,true
38.9200,390.21,0.9965,true
38.9360,390.23,0.9978,true
38.9520,390.34,0.9969,true
38.9680,390.98,0.9917,true
38.9840,394.12,0.9917,true
39.0000,396.89,0.9961,true
39.0160,397.17,0.9964,true
39.0320,396.30,0.9924,true
39.0480,392.47,0.9544,true
39.0640,390.97,0.7055,true
39.0800,390.21,0.4307,false
39.0960,390.25,0.3971,false
39.1120,790.64,0.5449,false
39.1280,390.31,0.5015,false
39.1440,389.40,0.7281,true
39.1600,358.08,0.6462,true
39.1760,330.04,0.9858,true
39.1920,325.11,0.9968,true
39.2080,322.70,0.9983,true
39.2240,322.03,0.9971,true
39.2400,320.30,0.9896,true
39.2560,321.88,0.9853,true
39.2720,327.03,0.9951,true
39.2880,332.18,0.9991,true
39.3040,334.15,0.9999,true
39.3200,334.52,1.0000,true
39.3360,334.36,1.0000,true
39.3520,332.98,1.0000,true
39.3680,329.90,0.9997,true
39.3840,328.57,0.9997,true
39.4000,328.63,0.9999,true
39.4160,328.91,1.0000,true
39.4320,329.19,1.0000,true
39.4480,329.84,0.9999,true
39.4640,331.09,0.9998,true
39.4800,333.41,0.9999,true
39.4960,334.36,0.9999,true
39.5120,333.79,0.9999,true
39.5280,331.52,0.9995,true
39.5440,328.10,0.9884,true
39.5600,313.80,0.6784,true
39.5760,255.26,0.7341,true
39.5920,249.87,0.9083,true
39.6080,252.10,0.9272,true
39.6240,256.67,0.9714,true
39.6400,256.49,0.9951,true
39.6560,256.30,0.9978,true
39.6720,256.21,0.9969,true
39.6880,257.26,0.9943,true
39.7040,260.71,0.9969,true
39.7200,261.62,0.9987,true
39.7360,262.40,0.9989,true
39.7520,263.17,0.9987,true
39.7680,264.32,0.9988,true
39.7840,265.31,0.9993,true
39.8000,265.97,0.9996,true
39.8160,265.99,0.9994,true
39.8320,264.80,0.9984,true
39.8480,262.11,0.9960,true
39.8640,261.16,0.9939,true
39.8800,261.72,0.9941,true
39.8960,261.99,0.9969,true
39.9120,262.04,0.9977,true
39.9280,262.01,0.9971,true
39.9440,262.04,0.9958,true
39.9600,262.48,0.9942,true
39.9760,262.26,0.9904,true
39.9920,262.22,0.9872,true
40.0080,262.17,0.9785,true
40.0240,261.21,0.9367,true
40.0400,261.25,0.8457,true
40.0560,263.21,0.7772,true
40.0720,260.81,0.7155,true
40.0880,257.37,0.7076,true
40.1040,257.29,0.7037,true
